iter	Passed	Remaining
0	148	148384
1	153	76761
2	159	52940
3	169	42210
4	174	34712
5	181	30127
6	188	26707
7	193	23986
8	200	22057
9	205	20360
10	213	19220
11	220	18122
12	229	17430
13	235	16603
14	244	16028
15	250	15380
16	259	14988
17	265	14475
18	274	14167
19	283	13912
20	292	13646
21	302	13447
22	309	13158
23	320	13053
24	333	12990
25	342	12812
26	352	12701
27	364	12636
28	371	12452
29	383	12397
30	394	12338
31	402	12178
32	412	12079
33	422	11992
34	430	11863
35	437	11714
36	445	11600
37	454	11511
38	463	11432
39	474	11390
40	483	11313
41	492	11223
42	499	11107
43	505	10973
44	512	10875
45	520	10802
46	529	10745
47	540	10727
48	549	10665
49	558	10617
50	567	10560
51	579	10559
52	590	10558
53	601	10536
54	612	10517
55	617	10407
56	625	10352
57	633	10289
58	643	10259
59	650	10193
60	658	10137
61	675	10213
62	700	10424
63	713	10430
64	726	10454
65	740	10483
66	751	10462
67	762	10450
68	773	10432
69	783	10403
70	792	10367
71	806	10392
72	820	10423
73	834	10442
74	849	10472
75	856	10407
76	866	10381
77	878	10378
78	889	10368
79	896	10304
80	907	10293
81	919	10292
82	927	10247
83	939	10241
84	950	10234
85	959	10192
86	970	10180
87	978	10144
88	989	10126
89	1016	10273
90	1030	10290
91	1043	10294
92	1055	10296
93	1063	10253
94	1079	10281
95	1095	10317
96	1110	10342
97	1125	10359
98	1138	10361
99	1151	10365
100	1162	10350
101	1172	10322
102	1187	10340
103	1202	10362
104	1216	10366
105	1229	10372
106	1241	10362
107	1253	10350
108	1264	10335
109	1277	10339
110	1292	10354
111	1309	10386
112	1324	10397
113	1338	10402
114	1353	10417
115	1367	10424
116	1384	10445
117	1418	10599
118	1436	10636
119	1518	11137
120	1557	11315
121	1585	11408
122	1603	11433
123	1632	11531
124	1661	11633
125	1680	11657
126	1706	11728
127	1721	11726
128	1735	11714
129	1751	11719
130	1766	11717
131	1785	11738
132	1824	11893
133	1874	12117
134	1911	12250
135	1935	12293
136	1952	12299
137	1968	12298
138	1989	12322
139	2005	12321
140	2032	12382
141	2052	12399
142	2102	12602
143	2121	12612
144	2138	12607
145	2174	12720
146	2202	12780
147	2250	12953
148	2305	13167
149	2345	13291
150	2378	13371
151	2395	13362
152	2424	13420
153	2442	13418
154	2469	13461
155	2494	13496
156	2540	13639
157	2559	13637
158	2595	13728
159	2615	13732
160	2633	13724
161	2652	13721
162	2672	13723
163	2701	13768
164	2718	13758
165	2738	13758
166	2758	13759
167	2785	13794
168	2813	13832
169	2833	13832
170	2848	13810
171	2875	13843
172	2910	13911
173	2936	13940
174	2966	13987
175	2989	13996
176	3013	14011
177	3029	13988
178	3056	14019
179	3095	14103
180	3142	14218
181	3163	14217
182	3188	14236
183	3211	14243
184	3234	14248
185	3261	14271
186	3277	14250
187	3300	14256
188	3324	14263
189	3347	14269
190	3366	14258
191	3381	14232
192	3411	14262
193	3443	14307
194	3479	14363
195	3500	14360
196	3530	14391
197	3549	14376
198	3568	14365
199	3585	14341
200	3603	14322
201	3625	14321
202	3642	14302
203	3661	14286
204	3695	14332
205	3720	14339
206	3738	14320
207	3757	14308
208	3780	14309
209	3806	14320
210	3833	14336
211	3846	14298
212	3862	14270
213	3881	14256
214	3902	14248
215	3923	14241
216	3945	14235
217	3962	14214
218	3990	14232
219	4010	14218
220	4035	14226
221	4052	14201
222	4073	14193
223	4089	14165
224	4106	14143
225	4128	14138
226	4148	14126
227	4163	14097
228	4180	14075
229	4203	14072
230	4219	14048
231	4236	14022
232	4251	13994
233	4267	13969
234	4285	13951
235	4306	13941
236	4325	13925
237	4343	13907
238	4360	13884
239	4392	13908
240	4419	13918
241	4436	13897
242	4450	13864
243	4468	13845
244	4492	13845
245	4512	13831
246	4528	13805
247	4546	13785
248	4572	13791
249	4596	13790
250	4624	13798
251	4639	13772
252	4665	13775
253	4684	13758
254	4699	13731
255	4729	13744
256	4744	13717
257	4763	13699
258	4817	13783
259	4861	13836
260	4873	13798
261	4891	13778
262	4911	13763
263	4926	13734
264	4942	13707
265	4958	13681
266	5017	13775
267	5043	13774
268	5060	13751
269	5078	13731
270	5097	13713
271	5111	13680
272	5126	13652
273	5141	13621
274	5155	13591
275	5169	13561
276	5186	13536
277	5202	13512
278	5218	13486
279	5238	13470
280	5254	13444
281	5270	13418
282	5289	13400
283	5302	13367
284	5323	13354
285	5342	13338
286	5358	13312
287	5372	13282
288	5388	13257
289	5403	13228
290	5419	13204
291	5434	13176
292	5446	13141
293	5459	13111
294	5473	13080
295	5489	13055
296	5504	13028
297	5518	12999
298	5531	12967
299	5541	12931
300	5554	12898
301	5565	12863
302	5576	12828
303	5589	12796
304	5603	12767
305	5614	12733
306	5627	12702
307	5639	12671
308	5651	12637
309	5664	12608
310	5688	12602
311	5704	12579
312	5718	12551
313	5729	12518
314	5741	12485
315	5753	12453
316	5766	12423
317	5778	12392
318	5792	12365
319	5801	12328
320	5815	12301
321	5827	12270
322	5838	12238
323	5850	12206
324	5861	12173
325	5873	12143
326	5886	12114
327	5899	12086
328	5910	12054
329	5921	12021
330	5932	11991
331	5942	11956
332	5951	11920
333	5963	11891
334	5976	11863
335	5985	11828
336	5995	11796
337	6009	11770
338	6024	11746
339	6038	11722
340	6049	11690
341	6059	11657
342	6070	11627
343	6082	11599
344	6093	11568
345	6104	11538
346	6117	11512
347	6129	11484
348	6143	11460
349	6161	11442
350	6175	11417
351	6186	11388
352	6196	11357
353	6224	11359
354	6236	11330
355	6244	11296
356	6254	11264
357	6267	11238
358	6278	11210
359	6288	11179
360	6299	11151
361	6312	11124
362	6326	11102
363	6342	11081
364	6356	11059
365	6368	11031
366	6379	11003
367	6393	10979
368	6411	10964
369	6423	10937
370	6441	10921
371	6459	10904
372	6475	10885
373	6494	10869
374	6510	10851
375	6535	10845
376	6548	10822
377	6562	10798
378	6573	10770
379	6586	10745
380	6605	10731
381	6616	10704
382	6628	10678
383	6642	10656
384	6659	10637
385	6671	10612
386	6686	10591
387	6702	10572
388	6717	10550
389	6732	10529
390	6752	10517
391	6772	10504
392	6802	10506
393	6813	10480
394	6828	10458
395	6840	10433
396	6852	10408
397	6861	10378
398	6873	10353
399	6885	10327
400	6897	10303
401	6907	10274
402	6918	10249
403	6930	10224
404	6943	10201
405	6954	10174
406	6964	10147
407	6975	10121
408	6987	10097
409	6996	10068
410	7009	10044
411	7020	10019
412	7029	9991
413	7039	9964
414	7049	9936
415	7057	9907
416	7068	9882
417	7080	9858
418	7089	9830
419	7100	9805
420	7111	9780
421	7119	9751
422	7130	9726
423	7140	9699
424	7148	9671
425	7159	9646
426	7170	9621
427	7179	9595
428	7190	9569
429	7199	9543
430	7208	9517
431	7220	9493
432	7230	9468
433	7240	9442
434	7250	9416
435	7258	9389
436	7268	9363
437	7334	9411
438	7344	9385
439	7364	9372
440	7379	9354
441	7389	9329
442	7398	9302
443	7409	9278
444	7418	9252
445	7427	9226
446	7438	9202
447	7447	9176
448	7456	9150
449	7466	9125
450	7474	9099
451	7484	9074
452	7496	9051
453	7505	9026
454	7516	9003
455	7525	8977
456	7533	8951
457	7543	8927
458	7551	8900
459	7561	8876
460	7572	8853
461	7580	8827
462	7592	8805
463	7602	8782
464	7610	8756
465	7622	8734
466	7635	8714
467	7643	8688
468	7654	8666
469	7663	8642
470	7672	8617
471	7683	8594
472	7693	8571
473	7702	8547
474	7713	8525
475	7722	8501
476	7732	8478
477	7744	8456
478	7754	8434
