iter	RMSE
0	3.580943873
1	3.473421836
2	3.36954955
3	3.273023932
4	3.176354912
5	3.083732617
6	2.993957243
7	2.905747043
8	2.820891823
9	2.740055615
10	2.668221072
11	2.591842453
12	2.517821461
13	2.446102406
14	2.37764233
15	2.311677844
16	2.248020628
17	2.185586115
18	2.124919897
19	2.066564559
20	2.010996512
21	1.956885377
22	1.905924094
23	1.855249584
24	1.805936914
25	1.759497431
26	1.712519437
27	1.667212151
28	1.6237291
29	1.582770654
30	1.543856775
31	1.50728091
32	1.468600857
33	1.431926661
34	1.395389298
35	1.360246478
36	1.325267476
37	1.293899822
38	1.263121316
39	1.2321248
40	1.202636424
41	1.17367073
42	1.144973839
43	1.1177192
44	1.090496402
45	1.064332629
46	1.039370441
47	1.017139298
48	0.9933999189
49	0.9718946759
50	0.9501097019
51	0.9297705376
52	0.9108630408
53	0.8916882462
54	0.8727386083
55	0.8539559691
56	0.8367331377
57	0.8184867308
58	0.8011554196
59	0.7845720301
60	0.7695994913
61	0.7542100441
62	0.73822015
63	0.7233744439
64	0.7097487033
65	0.6958210396
66	0.6827805804
67	0.6700392348
68	0.6567897009
69	0.6446317351
70	0.6324082356
71	0.620567099
72	0.6095263374
73	0.5987925075
74	0.5875560191
75	0.5771674171
76	0.5669926744
77	0.5570671954
78	0.5474951949
79	0.5382513623
80	0.529020061
81	0.5199931097
82	0.5108666789
83	0.5024409678
84	0.4938786908
85	0.4846489858
86	0.476451551
87	0.4687279745
88	0.4614253482
89	0.4533574458
90	0.4459534794
91	0.4395338295
92	0.4323529309
93	0.4259520284
94	0.4190817782
95	0.4127099402
96	0.4064917886
97	0.4009093597
98	0.3945596779
99	0.3885551907
100	0.3829112869
101	0.3770273388
102	0.371838268
103	0.3663040071
104	0.3607904594
105	0.3556856556
106	0.3505681016
107	0.3456025809
108	0.3412055843
109	0.3362055144
110	0.3315601551
111	0.3268343286
112	0.3221451822
113	0.3175134148
114	0.3134113156
115	0.3091044071
116	0.3051327059
117	0.30105051
118	0.2971397896
119	0.2934211225
120	0.2897649542
121	0.285673593
122	0.2821137745
123	0.278557354
