iter	RMSE
0	0.9440665436
1	0.9352415918
2	0.9277536923
3	0.9211775975
4	0.9136285948
5	0.9062065493
6	0.8992062802
7	0.893414571
8	0.8863805031
9	0.8804973568
10	0.8739833793
11	0.8686163233
12	0.8627296344
13	0.857456643
14	0.8520872509
15	0.8472999625
16	0.8429930866
17	0.8388233278
18	0.8339220813
19	0.8299978441
20	0.8263048779
21	0.8225397264
22	0.8191767751
23	0.8151938873
24	0.8112814532
25	0.8082591322
26	0.8050404079
27	0.8017527592
28	0.7992049246
29	0.7959764351
30	0.7932862845
31	0.79045368
32	0.7880897388
33	0.7854907247
34	0.7826516444
35	0.7794563922
36	0.776794295
37	0.7745968636
38	0.7718387068
39	0.7693335594
40	0.7666469682
41	0.7644078261
42	0.7623918932
43	0.7604073334
44	0.7585478057
45	0.7567379833
46	0.7550375642
47	0.7525696857
48	0.7514942831
49	0.7498089839
50	0.7479469184
51	0.7458494473
52	0.744318206
53	0.7426058554
54	0.7405515927
55	0.7390295949
56	0.7371736392
57	0.7352445138
58	0.7339620046
59	0.7328168367
60	0.7308473159
61	0.7285581051
62	0.7269911864
63	0.7255747148
64	0.7241073377
65	0.7225457511
66	0.7207564002
67	0.7191117889
68	0.7174596892
69	0.715880835
70	0.7143650481
71	0.71301363
72	0.7119111459
73	0.7099203942
74	0.7088455875
75	0.7066469329
76	0.7050862812
77	0.7039185877
78	0.7030601021
79	0.7016261917
80	0.7005183107
81	0.6997900952
82	0.6985611651
83	0.6977691978
84	0.6963306538
85	0.6946740621
86	0.6926888259
87	0.6911072123
88	0.6902585709
89	0.6886497019
90	0.6877350807
91	0.6867802951
92	0.6855071733
93	0.6843697973
94	0.6831278389
95	0.6824076823
96	0.6813700667
97	0.6802463721
98	0.6791603282
99	0.6776136133
100	0.6769081426
101	0.6758295022
102	0.6749441719
103	0.6736158485
104	0.6712620982
105	0.6703968776
106	0.6693608724
107	0.6684992294
108	0.6670817205
109	0.6661383775
110	0.6652357423
111	0.6643890334
112	0.6632167864
113	0.6624414429
114	0.6619562274
115	0.6611464955
116	0.6604239514
117	0.6593566783
118	0.6577892264
119	0.6570893698
120	0.6556820277
121	0.6543920813
122	0.6533934351
123	0.6525722825
124	0.6512369071
125	0.6500018642
126	0.6484814506
127	0.6475193975
128	0.6467839739
129	0.6453535912
130	0.643821337
131	0.6428254877
132	0.6419005099
133	0.6407939347
134	0.6400204585
135	0.6389987235
136	0.638087329
137	0.6377512037
138	0.6362503195
139	0.6356056931
140	0.6340560122
141	0.6331044325
142	0.6319791028
143	0.6307843544
144	0.6293550239
145	0.6278117226
146	0.6266692347
147	0.6254986952
148	0.6241505444
149	0.6228415701
150	0.6217547009
151	0.6206042232
152	0.619595892
153	0.6187335318
154	0.6174284442
155	0.616197868
156	0.6151390899
157	0.6143379926
158	0.6132143539
159	0.6121315379
160	0.6112358368
161	0.6093772013
162	0.6079499478
163	0.6070071486
164	0.6062577227
165	0.6049598529
166	0.6034475859
167	0.6027219471
168	0.601813754
169	0.6000410999
170	0.5983531963
171	0.5974478595
172	0.5965705703
173	0.5951077646
174	0.5942026012
175	0.5931238182
176	0.5921820555
177	0.5914301724
178	0.5901751257
179	0.5890835824
180	0.5882713519
181	0.5872285551
182	0.5861750477
183	0.5852708083
184	0.5839188752
185	0.5833427561
186	0.5822792195
187	0.5810454821
188	0.5795918794
189	0.5784479048
190	0.5776068756
191	0.5768693612
192	0.575792376
193	0.5746928453
194	0.5738185311
195	0.5723265992
196	0.571488991
197	0.5706098837
198	0.5695851038
199	0.5683002956
200	0.5673619569
201	0.5660172014
202	0.5644349056
203	0.5635132428
204	0.5623279104
205	0.5615564259
206	0.5605506225
207	0.5591873309
208	0.5581752375
209	0.5573594064
210	0.556380289
211	0.5553924335
212	0.5543754296
213	0.5532043973
214	0.5522063114
215	0.5516206942
216	0.5505112457
217	0.5490636971
218	0.5481038144
219	0.5472330643
220	0.5462051518
221	0.5451702223
222	0.5439315772
223	0.5433186161
224	0.5418601978
225	0.5409580321
226	0.5401646022
227	0.5389071693
228	0.5381013396
229	0.5368496379
230	0.5356864611
231	0.5348728387
232	0.5340131734
233	0.5327639795
234	0.5314766053
235	0.5305247232
236	0.5300973574
237	0.5290445061
238	0.5280887574
239	0.5270209021
240	0.526044758
241	0.5246464067
242	0.5242525915
243	0.5227747245
244	0.5214066902
245	0.5204443596
246	0.5189844386
247	0.5175431807
248	0.5164123443
249	0.5154975263
250	0.5147309533
251	0.5137861248
252	0.512839668
253	0.5119586237
254	0.5111074125
255	0.5103160193
256	0.5093364478
257	0.5081195976
258	0.5072397306
259	0.5062365309
260	0.505407918
261	0.504036163
262	0.5031806933
263	0.5023035045
264	0.501725931
265	0.5009453021
266	0.4998626883
267	0.4989063884
268	0.4978612022
269	0.4967581363
270	0.4955963827
271	0.4948549744
272	0.4934981431
273	0.4927650781
274	0.49232032
275	0.4909304534
276	0.4900559809
277	0.4889624064
278	0.4878303856
279	0.4874302506
280	0.4865467414
281	0.4854746097
282	0.4847242793
283	0.4837922068
284	0.4827042901
285	0.4825392807
286	0.4812444049
287	0.4810121764
288	0.4800945295
289	0.4791365958
290	0.477894324
291	0.4770319838
292	0.4760110978
293	0.4741355793
294	0.4729260348
295	0.4719647253
296	0.4713571621
297	0.4705245885
298	0.4697717924
299	0.4686012352
300	0.4681339742
301	0.4679872923
302	0.4669937527
303	0.4661035508
304	0.4650604326
305	0.4640609479
306	0.4630862164
307	0.4626579288
308	0.4621678381
309	0.4612736287
310	0.460380857
311	0.4595320909
312	0.4584746187
313	0.4576438927
314	0.4574409973
315	0.4570937767
316	0.45605184
317	0.4554799446
318	0.4552190987
319	0.4550429206
320	0.4535265659
321	0.4532959847
322	0.4523179099
323	0.4515448838
324	0.4507141073
325	0.4498498748
326	0.4488860228
327	0.4479209179
328	0.4467356742
329	0.4455044746
330	0.4444756201
331	0.4432700574
332	0.4425092407
333	0.4414560975
334	0.4404846871
335	0.4395280703
336	0.4392752298
337	0.4383714085
338	0.437567367
339	0.4366407024
340	0.4355124011
341	0.4346879552
342	0.4342258563
343	0.4333318644
344	0.4324533408
345	0.4315999426
346	0.4309740768
347	0.430449227
348	0.4296829228
349	0.4285799775
350	0.4278039829
351	0.4266648029
352	0.4259463679
353	0.4251655447
354	0.4247378846
355	0.4238749076
356	0.4235860477
357	0.4231046335
358	0.4226147453
359	0.4219996632
360	0.4210925893
361	0.4203159546
362	0.4195552279
363	0.4194512311
364	0.4188675777
365	0.417687704
366	0.4166573706
367	0.4160499846
368	0.4151348542
369	0.4140690185
370	0.4130295417
371	0.4123322422
372	0.4116248235
373	0.411023718
374	0.4103994273
375	0.4102698874
376	0.4099423194
377	0.4090712193
378	0.4084569775
379	0.407877502
380	0.407578004
381	0.4061962224
382	0.4056355184
383	0.4047658017
384	0.4039351892
385	0.4034596497
386	0.4020026292
387	0.4015463612
388	0.4010603606
389	0.3999421506
390	0.3997939638
391	0.3994095074
392	0.3984126441
393	0.3977892233
394	0.3974741601
395	0.3967887599
396	0.3963043656
397	0.3960059819
398	0.3953406511
399	0.3944895168
400	0.3935457235
401	0.3932595731
402	0.3924000412
403	0.3917313716
404	0.3914615175
405	0.3903692518
406	0.3896837243
407	0.3895194733
408	0.3888631983
409	0.3878992214
410	0.3873167964
411	0.3865323108
412	0.3860522592
413	0.3853618769
414	0.3845501673
415	0.3840306427
416	0.3837276162
417	0.3825202634
418	0.3817041993
419	0.3810893074
420	0.3807912612
421	0.3800964654
422	0.3796071364
423	0.3789112181
424	0.3780484052
425	0.3775416248
426	0.3770818569
427	0.3765742568
428	0.3760866527
429	0.3759181992
430	0.3751029248
431	0.3748331206
432	0.3743042056
433	0.3734546863
434	0.3726510004
435	0.3725686345
436	0.3717963344
437	0.3708874225
438	0.3702797956
439	0.3695551053
440	0.3693982513
441	0.3687468297
442	0.3682746081
443	0.3679573379
444	0.3679147397
445	0.3671079517
446	0.3662235918
447	0.3654495625
448	0.3650478996
449	0.3646079346
450	0.3639586661
451	0.3629955378
452	0.3625107158
453	0.3620978052
454	0.3616912043
455	0.3615824862
456	0.360795727
457	0.3602163503
458	0.3595755992
459	0.3590221468
460	0.3583290464
461	0.3582949361
462	0.3579393324
463	0.3578311429
464	0.3571457579
465	0.356448523
466	0.3562058378
467	0.3553204283
468	0.3547940077
469	0.3543637666
470	0.3533796208
471	0.3529014137
472	0.3524283406
473	0.3519540013
474	0.3512822992
475	0.3507794851
476	0.3503075881
477	0.3494266523
478	0.3492304223
479	0.3485392228
480	0.347889859
481	0.3472584535
482	0.3468466891
483	0.3461385077
484	0.345344584
485	0.3452626322
486	0.3451537497
487	0.3443532492
488	0.3434205286
489	0.34267747
490	0.3420975577
491	0.3416172236
492	0.3414044594
493	0.341362126
494	0.3413281257
495	0.3411957289
496	0.3403644417
497	0.3397022225
498	0.3393067386
499	0.3388005703
500	0.3383319969
501	0.3382378917
502	0.3376734827
503	0.3370593757
504	0.3367635723
505	0.3360144924
506	0.3356584099
507	0.3351437215
508	0.3349884216
509	0.334195756
510	0.3341396083
511	0.3339106064
512	0.3333414713
513	0.3331832055
514	0.3327541491
515	0.3323455706
516	0.3316652053
517	0.3312164092
518	0.3307362209
519	0.3299731116
520	0.3292960067
521	0.3286904459
522	0.3285104599
523	0.3277010378
524	0.3271605368
525	0.3269326025
526	0.3260696921
527	0.3254124722
528	0.3247732732
529	0.3242466542
530	0.3238053593
531	0.3237151819
532	0.3236502081
533	0.3230195935
534	0.3226704144
535	0.3220554926
536	0.321954852
537	0.3212232292
538	0.3202314795
539	0.3199394765
540	0.3195342112
541	0.3187371211
542	0.318266138
543	0.3182238155
544	0.3181537471
545	0.3172791149
546	0.3172052604
547	0.3166680171
548	0.316171992
549	0.3155148684
550	0.3152201231
551	0.3149059408
552	0.3141974084
553	0.3139476987
554	0.3139040412
555	0.3138633215
556	0.3132102609
557	0.3131750043
558	0.3125830963
559	0.3118388355
560	0.311378218
561	0.3107717453
562	0.3101372082
563	0.3095247385
564	0.3090862934
565	0.3090593756
566	0.3085535519
567	0.3078499858
568	0.3072155637
569	0.3065854586
570	0.3063413089
571	0.305848925
572	0.3055660841
573	0.3048472623
574	0.3044659131
575	0.3042487993
576	0.3038765733
577	0.3034433394
578	0.3033806025
579	0.3029057164
580	0.3024236669
581	0.3015376728
582	0.301076181
583	0.300488097
584	0.3003393243
585	0.3002552889
586	0.2995326277
587	0.2993828747
588	0.2987610047
589	0.2980424582
590	0.2979006036
591	0.2975647192
592	0.2968142747
593	0.2961036724
594	0.2955299692
595	0.2953384703
596	0.2948511343
597	0.2943488819
598	0.2937605395
599	0.2936361617
600	0.2934073817
601	0.2931365764
602	0.2926806108
603	0.2919570158
604	0.2913760264
605	0.290742483
606	0.2900889295
607	0.2894514322
608	0.2893832723
609	0.2886765501
610	0.2881713888
611	0.2877812301
612	0.2872376918
613	0.2868815704
614	0.2863686615
615	0.2856333183
616	0.28494026
617	0.2843478513
618	0.2840361326
619	0.2836437094
620	0.2832083397
621	0.2824550888
622	0.2819157778
623	0.2816415619
624	0.2811426323
625	0.2806972695
626	0.2803712834
627	0.2802331512
628	0.2800731102
629	0.2798099471
630	0.2795855804
631	0.2789291999
632	0.2784382148
633	0.2782961763
634	0.2779505899
635	0.2775068107
636	0.2774782652
637	0.2767028434
638	0.2762155506
639	0.2757915047
640	0.2753977084
641	0.2749648192
642	0.2745266541
643	0.2739735575
644	0.2737469663
645	0.2734047134
646	0.2733237283
647	0.2732523497
648	0.2728274556
649	0.2722576465
650	0.2716409175
651	0.2713236206
652	0.2708384972
653	0.2706124858
654	0.2703490246
655	0.2702520349
656	0.2698905398
657	0.2698336656
658	0.2694286688
659	0.2688395547
660	0.2683213696
661	0.2677195581
662	0.2673112713
663	0.2667529435
664	0.2667139351
665	0.2663272952
666	0.2660208587
667	0.2654370649
668	0.2650937005
669	0.264607809
670	0.2643569114
671	0.2638546414
672	0.2633443873
673	0.2629418934
674	0.2622720313
675	0.2617759102
676	0.2615364298
677	0.2613084675
678	0.2609017461
679	0.2602402663
680	0.2598475212
681	0.2597026384
682	0.2593895813
683	0.2589028838
684	0.2586293466
685	0.2581717264
686	0.2577694534
687	0.2573376216
688	0.257150795
689	0.2566785047
690	0.2566520531
691	0.2563873867
692	0.2561084736
693	0.2557149275
694	0.2556912454
695	0.2553641375
696	0.2546630229
697	0.2544822745
698	0.2538369455
699	0.2535809398
700	0.2530205514
701	0.2529780164
702	0.2527755729
703	0.2523165271
704	0.2520286303
705	0.2516142813
706	0.2514950406
707	0.2511947163
708	0.2504594893
709	0.2500999584
710	0.2497918834
711	0.2492496322
712	0.2489251387
713	0.2486036088
714	0.2483411545
715	0.2478565593
716	0.2477532045
717	0.2472395605
718	0.2468548575
719	0.2464792576
720	0.2461341628
721	0.2456938674
722	0.2452233659
723	0.2445532116
724	0.2444803424
