iter	Passed	Remaining
0	6	6136
1	10	5402
2	15	5214
3	21	5331
4	26	5240
5	31	5142
6	37	5314
7	41	5140
8	45	4980
9	49	4911
10	55	4959
11	59	4862
12	62	4775
13	69	4879
14	73	4823
15	77	4750
16	81	4739
17	87	4791
18	91	4737
19	96	4712
20	101	4748
21	105	4697
22	109	4651
23	115	4712
24	120	4682
25	124	4672
26	132	4758
27	136	4728
28	140	4693
29	145	4699
30	149	4673
31	154	4661
32	158	4637
33	163	4651
34	167	4627
35	172	4629
36	180	4701
37	187	4746
38	194	4801
39	201	4826
40	205	4812
41	211	4833
42	216	4807
43	220	4782
44	226	4814
45	231	4803
46	236	4792
47	243	4826
48	248	4820
49	253	4808
50	259	4823
51	263	4808
52	267	4787
53	274	4801
54	278	4779
55	282	4756
56	289	4795
57	294	4790
58	299	4779
59	305	4789
60	309	4766
61	313	4746
62	320	4763
63	324	4741
64	329	4738
65	335	4753
66	339	4731
67	343	4712
68	348	4696
69	353	4693
70	358	4685
71	364	4700
72	370	4698
73	374	4690
74	382	4715
75	387	4716
76	392	4701
77	398	4707
78	402	4688
79	406	4671
80	412	4677
81	416	4659
82	420	4642
83	424	4626
84	430	4636
85	434	4620
86	438	4606
87	445	4615
88	449	4599
89	453	4584
90	459	4592
91	464	4579
92	467	4564
93	472	4553
94	478	4559
95	482	4545
96	487	4534
97	492	4535
98	496	4520
99	500	4507
100	507	4513
101	511	4499
102	515	4487
103	521	4488
104	525	4476
105	529	4465
106	533	4452
107	538	4451
108	542	4437
109	547	4426
110	553	4434
111	557	4423
112	562	4413
113	568	4418
114	572	4405
115	576	4392
116	580	4379
117	586	4384
118	591	4376
119	595	4364
120	601	4368
121	605	4357
122	609	4345
123	616	4352
124	620	4344
125	624	4333
126	631	4339
127	635	4329
128	639	4317
129	643	4309
130	649	4306
131	653	4296
132	657	4286
133	663	4287
134	667	4277
135	671	4264
136	676	4262
137	681	4257
138	685	4246
139	690	4242
140	696	4240
141	701	4240
142	710	4255
143	714	4245
144	717	4233
145	724	4235
146	728	4225
147	732	4215
148	737	4211
149	741	4203
150	745	4191
151	750	4184
152	765	4236
153	771	4240
154	776	4230
155	780	4222
156	785	4215
157	789	4205
158	793	4199
159	800	4204
160	805	4198
161	810	4193
162	817	4196
163	821	4189
164	826	4181
165	833	4186
166	837	4179
167	842	4169
168	847	4167
169	851	4158
170	855	4146
171	858	4135
172	865	4136
173	869	4125
174	872	4114
175	877	4108
176	881	4098
177	885	4087
178	889	4078
179	897	4087
180	903	4089
181	911	4094
182	916	4090
183	921	4088
184	928	4091
185	933	4085
186	939	4084
187	945	4082
188	950	4078
189	957	4081
190	961	4074
191	966	4068
192	974	4074
193	979	4067
194	983	4061
195	991	4065
196	995	4058
197	1002	4059
198	1007	4053
199	1011	4044
200	1018	4046
201	1022	4039
202	1027	4035
203	1034	4035
204	1038	4028
205	1043	4020
206	1049	4019
207	1054	4013
208	1058	4007
209	1065	4008
210	1070	4002
211	1074	3995
212	1081	3994
213	1086	3990
214	1090	3980
215	1095	3977
216	1099	3968
217	1103	3959
218	1108	3954
219	1115	3953
220	1119	3947
221	1124	3939
222	1129	3936
223	1133	3927
