naics_edition_year,history_year,history_naics,cur_naics
2017,2012,11,11
2017,2017,11,11
2017,2022,11,11
2017,2012,111,111
2017,2017,111,111
2017,2022,111,111
2017,2012,1111,1111
2017,2017,1111,1111
2017,2022,1111,1111
2017,2012,11111,11111
2017,2017,11111,11111
2017,2022,11111,11111
2017,2012,111110,111110
2017,2017,111110,111110
2017,2022,111110,111110
2017,2012,11112,11112
2017,2017,11112,11112
2017,2022,11112,11112
2017,2012,111120,111120
2017,2017,111120,111120
2017,2022,111120,111120
2017,2012,11113,11113
2017,2017,11113,11113
2017,2022,11113,11113
2017,2012,111130,111130
2017,2017,111130,111130
2017,2022,111130,111130
2017,2012,11114,11114
2017,2017,11114,11114
2017,2022,11114,11114
2017,2012,111140,111140
2017,2017,111140,111140
2017,2022,111140,111140
2017,2012,11115,11115
2017,2017,11115,11115
2017,2022,11115,11115
2017,2012,111150,111150
2017,2017,111150,111150
2017,2022,111150,111150
2017,2012,11116,11116
2017,2017,11116,11116
2017,2022,11116,11116
2017,2012,111160,111160
2017,2017,111160,111160
2017,2022,111160,111160
2017,2012,11119,11119
2017,2017,11119,11119
2017,2022,11119,11119
2017,2012,111191,111191
2017,2017,111191,111191
2017,2022,111191,111191
2017,2012,111199,111199
2017,2017,111199,111199
2017,2022,111199,111199
2017,2012,1112,1112
2017,2017,1112,1112
2017,2022,1112,1112
2017,2012,11121,11121
2017,2017,11121,11121
2017,2022,11121,11121
2017,2012,111211,111211
2017,2017,111211,111211
2017,2022,111211,111211
2017,2012,111219,111219
2017,2017,111219,111219
2017,2022,111219,111219
2017,2012,1113,1113
2017,2017,1113,1113
2017,2022,1113,1113
2017,2012,11131,11131
2017,2017,11131,11131
2017,2022,11131,11131
2017,2012,111310,111310
2017,2017,111310,111310
2017,2022,111310,111310
2017,2012,11132,11132
2017,2017,11132,11132
2017,2022,11132,11132
2017,2012,111320,111320
2017,2017,111320,111320
2017,2022,111320,111320
2017,2012,11133,11133
2017,2017,11133,11133
2017,2022,11133,11133
2017,2012,111331,111331
2017,2017,111331,111331
2017,2022,111331,111331
2017,2012,111332,111332
2017,2017,111332,111332
2017,2022,111332,111332
2017,2012,111333,111333
2017,2017,111333,111333
2017,2022,111333,111333
2017,2012,111334,111334
2017,2017,111334,111334
2017,2022,111334,111334
2017,2012,111335,111335
2017,2017,111335,111335
2017,2022,111335,111335
2017,2012,111336,111336
2017,2017,111336,111336
2017,2022,111336,111336
2017,2012,111339,111339
2017,2017,111339,111339
2017,2022,111339,111339
2017,2012,1114,1114
2017,2017,1114,1114
2017,2022,1114,1114
2017,2012,11141,11141
2017,2017,11141,11141
2017,2022,11141,11141
2017,2012,111411,111411
2017,2017,111411,111411
2017,2022,111411,111411
2017,2012,111419,111419
2017,2017,111419,111419
2017,2022,111419,111419
2017,2012,11142,11142
2017,2017,11142,11142
2017,2022,11142,11142
2017,2012,111421,111421
2017,2017,111421,111421
2017,2022,111421,111421
2017,2012,111422,111422
2017,2017,111422,111422
2017,2022,111422,111422
2017,2012,1119,1119
2017,2017,1119,1119
2017,2022,1119,1119
2017,2012,11191,11191
2017,2017,11191,11191
2017,2022,11191,11191
2017,2012,111910,111910
2017,2017,111910,111910
2017,2022,111910,111910
2017,2012,11192,11192
2017,2017,11192,11192
2017,2022,11192,11192
2017,2012,111920,111920
2017,2017,111920,111920
2017,2022,111920,111920
2017,2012,11193,11193
2017,2017,11193,11193
2017,2022,11193,11193
2017,2012,111930,111930
2017,2017,111930,111930
2017,2022,111930,111930
2017,2012,11194,11194
2017,2017,11194,11194
2017,2022,11194,11194
2017,2012,111940,111940
2017,2017,111940,111940
2017,2022,111940,111940
2017,2012,11199,11199
2017,2017,11199,11199
2017,2022,11199,11199
2017,2012,111991,111991
2017,2017,111991,111991
2017,2022,111991,111991
2017,2012,111992,111992
2017,2017,111992,111992
2017,2022,111992,111992
2017,2012,111998,111998
2017,2017,111998,111998
2017,2022,111998,111998
2017,2012,112,112
2017,2017,112,112
2017,2022,112,112
2017,2012,1121,1121
2017,2017,1121,1121
2017,2022,1121,1121
2017,2012,11211,11211
2017,2017,11211,11211
2017,2022,11211,11211
2017,2012,112111,112111
2017,2017,112111,112111
2017,2022,112111,112111
2017,2012,112112,112112
2017,2017,112112,112112
2017,2022,112112,112112
2017,2012,11212,11212
2017,2017,11212,11212
2017,2022,11212,11212
2017,2012,112120,112120
2017,2017,112120,112120
2017,2022,112120,112120
2017,2012,11213,11213
2017,2017,11213,11213
2017,2022,11213,11213
2017,2012,112130,112130
2017,2017,112130,112130
2017,2022,112130,112130
2017,2012,1122,1122
2017,2017,1122,1122
2017,2022,1122,1122
2017,2012,11221,11221
2017,2017,11221,11221
2017,2022,11221,11221
2017,2012,112210,112210
2017,2017,112210,112210
2017,2022,112210,112210
2017,2012,1123,1123
2017,2017,1123,1123
2017,2022,1123,1123
2017,2012,11231,11231
2017,2017,11231,11231
2017,2022,11231,11231
2017,2012,112310,112310
2017,2017,112310,112310
2017,2022,112310,112310
2017,2012,11232,11232
2017,2017,11232,11232
2017,2022,11232,11232
2017,2012,112320,112320
2017,2017,112320,112320
2017,2022,112320,112320
2017,2012,11233,11233
2017,2017,11233,11233
2017,2022,11233,11233
2017,2012,112330,112330
2017,2017,112330,112330
2017,2022,112330,112330
2017,2012,11234,11234
2017,2017,11234,11234
2017,2022,11234,11234
2017,2012,112340,112340
2017,2017,112340,112340
2017,2022,112340,112340
2017,2012,11239,11239
2017,2017,11239,11239
2017,2022,11239,11239
2017,2012,112390,112390
2017,2017,112390,112390
2017,2022,112390,112390
2017,2012,1124,1124
2017,2017,1124,1124
2017,2022,1124,1124
2017,2012,11241,11241
2017,2017,11241,11241
2017,2022,11241,11241
2017,2012,112410,112410
2017,2017,112410,112410
2017,2022,112410,112410
2017,2012,11242,11242
2017,2017,11242,11242
2017,2022,11242,11242
2017,2012,112420,112420
2017,2017,112420,112420
2017,2022,112420,112420
2017,2012,1125,1125
2017,2017,1125,1125
2017,2022,1125,1125
2017,2012,11251,11251
2017,2017,11251,11251
2017,2022,11251,11251
2017,2012,112511,112511
2017,2017,112511,112511
2017,2022,112511,112511
2017,2012,112512,112512
2017,2017,112512,112512
2017,2022,112512,112512
2017,2012,112519,112519
2017,2017,112519,112519
2017,2022,112519,112519
2017,2012,1129,1129
2017,2017,1129,1129
2017,2022,1129,1129
2017,2012,11291,11291
2017,2017,11291,11291
2017,2022,11291,11291
2017,2012,112910,112910
2017,2017,112910,112910
2017,2022,112910,112910
2017,2012,11292,11292
2017,2017,11292,11292
2017,2022,11292,11292
2017,2012,112920,112920
2017,2017,112920,112920
2017,2022,112920,112920
2017,2012,11293,11293
2017,2017,11293,11293
2017,2022,11293,11293
2017,2012,112930,112930
2017,2017,112930,112930
2017,2022,112930,112930
2017,2012,11299,11299
2017,2017,11299,11299
2017,2022,11299,11299
2017,2012,112990,112990
2017,2017,112990,112990
2017,2022,112990,112990
2017,2012,113,113
2017,2017,113,113
2017,2022,113,113
2017,2012,1131,1131
2017,2017,1131,1131
2017,2022,1131,1131
2017,2012,11311,11311
2017,2017,11311,11311
2017,2022,11311,11311
2017,2012,113110,113110
2017,2017,113110,113110
2017,2022,113110,113110
2017,2012,1132,1132
2017,2017,1132,1132
2017,2022,1132,1132
2017,2012,11321,11321
2017,2017,11321,11321
2017,2022,11321,11321
2017,2012,113210,113210
2017,2017,113210,113210
2017,2022,113210,113210
2017,2012,1133,1133
2017,2017,1133,1133
2017,2022,1133,1133
2017,2012,11331,11331
2017,2017,11331,11331
2017,2022,11331,11331
2017,2012,113310,113310
2017,2017,113310,113310
2017,2022,113310,113310
2017,2012,114,114
2017,2017,114,114
2017,2022,114,114
2017,2012,1141,1141
2017,2017,1141,1141
2017,2022,1141,1141
2017,2012,11411,11411
2017,2017,11411,11411
2017,2022,11411,11411
2017,2012,114111,114111
2017,2017,114111,114111
2017,2022,114111,114111
2017,2012,114112,114112
2017,2017,114112,114112
2017,2022,114112,114112
2017,2012,114119,114119
2017,2017,114119,114119
2017,2022,114119,114119
2017,2012,1142,1142
2017,2017,1142,1142
2017,2022,1142,1142
2017,2012,11421,11421
2017,2017,11421,11421
2017,2022,11421,11421
2017,2012,114210,114210
2017,2017,114210,114210
2017,2022,114210,114210
2017,2012,115,115
2017,2017,115,115
2017,2022,115,115
2017,2012,1151,1151
2017,2017,1151,1151
2017,2022,1151,1151
2017,2012,11511,11511
2017,2017,11511,11511
2017,2022,11511,11511
2017,2012,115111,115111
2017,2017,115111,115111
2017,2022,115111,115111
2017,2012,115112,115112
2017,2017,115112,115112
2017,2022,115112,115112
2017,2012,115113,115113
2017,2017,115113,115113
2017,2022,115113,115113
2017,2012,115114,115114
2017,2017,115114,115114
2017,2022,115114,115114
2017,2012,115115,115115
2017,2017,115115,115115
2017,2022,115115,115115
2017,2012,115116,115116
2017,2017,115116,115116
2017,2022,115116,115116
2017,2012,1152,1152
2017,2017,1152,1152
2017,2022,1152,1152
2017,2012,11521,11521
2017,2017,11521,11521
2017,2022,11521,11521
2017,2012,115210,115210
2017,2017,115210,115210
2017,2022,115210,115210
2017,2012,1153,1153
2017,2017,1153,1153
2017,2022,1153,1153
2017,2012,11531,11531
2017,2017,11531,11531
2017,2022,11531,11531
2017,2012,115310,115310
2017,2017,115310,115310
2017,2022,115310,115310
2017,2012,21,21
2017,2017,21,21
2017,2022,21,21
2017,2012,211,211
2017,2017,211,211
2017,2022,211,211
2017,2012,2111,2111
2017,2017,2111,2111
2017,2022,2111,2111
2017,2012,21111,21112
2017,2017,21112,21112
2017,2022,21112,21112
2017,2012,211111,211120
2017,2017,211120,211120
2017,2022,211120,211120
2017,2012,21111,21113
2017,2017,21113,21113
2017,2022,21113,21113
2017,2012,211111,211130
2017,2012,211112,211130
2017,2017,211130,211130
2017,2022,211130,211130
2017,2012,212,212
2017,2017,212,212
2017,2022,212,212
2017,2012,2121,2121
2017,2017,2121,2121
2017,2022,2121,2121
2017,2012,21211,21211
2017,2017,21211,21211
2017,2022,21211,21211
2017,2012,212111,212111
2017,2017,212111,212111
2017,2022,212114,212111
2017,2012,212112,212112
2017,2017,212112,212112
2017,2022,212115,212112
2017,2012,212113,212113
2017,2017,212113,212113
2017,2022,212114,212113
2017,2022,212115,212113
2017,2012,2122,2122
2017,2017,2122,2122
2017,2022,2122,2122
2017,2012,21221,21221
2017,2017,21221,21221
2017,2022,21221,21221
2017,2012,212210,212210
2017,2017,212210,212210
2017,2022,212210,212210
2017,2012,21222,21222
2017,2017,21222,21222
2017,2022,21222,21222
2017,2012,212221,212221
2017,2017,212221,212221
2017,2022,212220,212221
2017,2012,212222,212222
2017,2017,212222,212222
2017,2022,212220,212222
2017,2012,21223,21223
2017,2017,21223,21223
2017,2022,21223,21223
2017,2012,212231,212230
2017,2012,212234,212230
2017,2017,212230,212230
2017,2022,212230,212230
2017,2012,21229,21229
2017,2017,21229,21229
2017,2022,21229,21229
2017,2012,212291,212291
2017,2017,212291,212291
2017,2022,212290,212291
2017,2012,212299,212299
2017,2017,212299,212299
2017,2022,212290,212299
2017,2012,2123,2123
2017,2017,2123,2123
2017,2022,2123,2123
2017,2012,21231,21231
2017,2017,21231,21231
2017,2022,21231,21231
2017,2012,212311,212311
2017,2017,212311,212311
2017,2022,212311,212311
2017,2012,212312,212312
2017,2017,212312,212312
2017,2022,212312,212312
2017,2012,212313,212313
2017,2017,212313,212313
2017,2022,212313,212313
2017,2012,212319,212319
2017,2017,212319,212319
2017,2022,212319,212319
2017,2012,21232,21232
2017,2017,21232,21232
2017,2022,21232,21232
2017,2012,212321,212321
2017,2017,212321,212321
2017,2022,212321,212321
2017,2012,212322,212322
2017,2017,212322,212322
2017,2022,212322,212322
2017,2012,212324,212324
2017,2017,212324,212324
2017,2022,212323,212324
2017,2012,212325,212325
2017,2017,212325,212325
2017,2022,212323,212325
2017,2012,21239,21239
2017,2017,21239,21239
2017,2022,21239,21239
2017,2012,212391,212391
2017,2017,212391,212391
2017,2022,212390,212391
2017,2012,212392,212392
2017,2017,212392,212392
2017,2022,212390,212392
2017,2012,212393,212393
2017,2017,212393,212393
2017,2022,212390,212393
2017,2012,212399,212399
2017,2017,212399,212399
2017,2022,212390,212399
2017,2012,213,213
2017,2017,213,213
2017,2022,213,213
2017,2012,2131,2131
2017,2017,2131,2131
2017,2022,2131,2131
2017,2012,21311,21311
2017,2017,21311,21311
2017,2022,21311,21311
2017,2012,213111,213111
2017,2017,213111,213111
2017,2022,213111,213111
2017,2012,213112,213112
2017,2017,213112,213112
2017,2022,213112,213112
2017,2012,213113,213113
2017,2017,213113,213113
2017,2022,213113,213113
2017,2012,213114,213114
2017,2017,213114,213114
2017,2022,213114,213114
2017,2012,213115,213115
2017,2017,213115,213115
2017,2022,213115,213115
2017,2012,22,22
2017,2017,22,22
2017,2022,22,22
2017,2012,221,221
2017,2017,221,221
2017,2022,221,221
2017,2012,2211,2211
2017,2017,2211,2211
2017,2022,2211,2211
2017,2012,22111,22111
2017,2017,22111,22111
2017,2022,22111,22111
2017,2012,221111,221111
2017,2017,221111,221111
2017,2022,221111,221111
2017,2012,221112,221112
2017,2017,221112,221112
2017,2022,221112,221112
2017,2012,221113,221113
2017,2017,221113,221113
2017,2022,221113,221113
2017,2012,221114,221114
2017,2017,221114,221114
2017,2022,221114,221114
2017,2012,221115,221115
2017,2017,221115,221115
2017,2022,221115,221115
2017,2012,221116,221116
2017,2017,221116,221116
2017,2022,221116,221116
2017,2012,221117,221117
2017,2017,221117,221117
2017,2022,221117,221117
2017,2012,221118,221118
2017,2017,221118,221118
2017,2022,221118,221118
2017,2012,22112,22112
2017,2017,22112,22112
2017,2022,22112,22112
2017,2012,221121,221121
2017,2017,221121,221121
2017,2022,221121,221121
2017,2012,221122,221122
2017,2017,221122,221122
2017,2022,221122,221122
2017,2012,2212,2212
2017,2017,2212,2212
2017,2022,2212,2212
2017,2012,22121,22121
2017,2017,22121,22121
2017,2022,22121,22121
2017,2012,221210,221210
2017,2017,221210,221210
2017,2022,221210,221210
2017,2012,2213,2213
2017,2017,2213,2213
2017,2022,2213,2213
2017,2012,22131,22131
2017,2017,22131,22131
2017,2022,22131,22131
2017,2012,221310,221310
2017,2017,221310,221310
2017,2022,221310,221310
2017,2012,22132,22132
2017,2017,22132,22132
2017,2022,22132,22132
2017,2012,221320,221320
2017,2017,221320,221320
2017,2022,221320,221320
2017,2012,22133,22133
2017,2017,22133,22133
2017,2022,22133,22133
2017,2012,221330,221330
2017,2017,221330,221330
2017,2022,221330,221330
2017,2012,23,23
2017,2017,23,23
2017,2022,23,23
2017,2012,236,236
2017,2017,236,236
2017,2022,236,236
2017,2012,2361,2361
2017,2017,2361,2361
2017,2022,2361,2361
2017,2012,23611,23611
2017,2017,23611,23611
2017,2022,23611,23611
2017,2012,236115,236115
2017,2017,236115,236115
2017,2022,236115,236115
2017,2012,236116,236116
2017,2017,236116,236116
2017,2022,236116,236116
2017,2012,236117,236117
2017,2017,236117,236117
2017,2022,236117,236117
2017,2012,236118,236118
2017,2017,236118,236118
2017,2022,236118,236118
2017,2012,2362,2362
2017,2017,2362,2362
2017,2022,2362,2362
2017,2012,23621,23621
2017,2017,23621,23621
2017,2022,23621,23621
2017,2012,236210,236210
2017,2017,236210,236210
2017,2022,236210,236210
2017,2012,23622,23622
2017,2017,23622,23622
2017,2022,23622,23622
2017,2012,236220,236220
2017,2017,236220,236220
2017,2022,236220,236220
2017,2012,237,237
2017,2017,237,237
2017,2022,237,237
2017,2012,2371,2371
2017,2017,2371,2371
2017,2022,2371,2371
2017,2012,23711,23711
2017,2017,23711,23711
2017,2022,23711,23711
2017,2012,237110,237110
2017,2017,237110,237110
2017,2022,237110,237110
2017,2012,23712,23712
2017,2017,23712,23712
2017,2022,23712,23712
2017,2012,237120,237120
2017,2017,237120,237120
2017,2022,237120,237120
2017,2012,23713,23713
2017,2017,23713,23713
2017,2022,23713,23713
2017,2012,237130,237130
2017,2017,237130,237130
2017,2022,237130,237130
2017,2012,2372,2372
2017,2017,2372,2372
2017,2022,2372,2372
2017,2012,23721,23721
2017,2017,23721,23721
2017,2022,23721,23721
2017,2012,237210,237210
2017,2017,237210,237210
2017,2022,237210,237210
2017,2012,2373,2373
2017,2017,2373,2373
2017,2022,2373,2373
2017,2012,23731,23731
2017,2017,23731,23731
2017,2022,23731,23731
2017,2012,237310,237310
2017,2017,237310,237310
2017,2022,237310,237310
2017,2012,2379,2379
2017,2017,2379,2379
2017,2022,2379,2379
2017,2012,23799,23799
2017,2017,23799,23799
2017,2022,23799,23799
2017,2012,237990,237990
2017,2017,237990,237990
2017,2022,237990,237990
2017,2012,238,238
2017,2017,238,238
2017,2022,238,238
2017,2012,2381,2381
2017,2017,2381,2381
2017,2022,2381,2381
2017,2012,23811,23811
2017,2017,23811,23811
2017,2022,23811,23811
2017,2012,238110,238110
2017,2017,238110,238110
2017,2022,238110,238110
2017,2012,23812,23812
2017,2017,23812,23812
2017,2022,23812,23812
2017,2012,238120,238120
2017,2017,238120,238120
2017,2022,238120,238120
2017,2012,23813,23813
2017,2017,23813,23813
2017,2022,23813,23813
2017,2012,238130,238130
2017,2017,238130,238130
2017,2022,238130,238130
2017,2012,23814,23814
2017,2017,23814,23814
2017,2022,23814,23814
2017,2012,238140,238140
2017,2017,238140,238140
2017,2022,238140,238140
2017,2012,23815,23815
2017,2017,23815,23815
2017,2022,23815,23815
2017,2012,238150,238150
2017,2017,238150,238150
2017,2022,238150,238150
2017,2012,23816,23816
2017,2017,23816,23816
2017,2022,23816,23816
2017,2012,238160,238160
2017,2017,238160,238160
2017,2022,238160,238160
2017,2012,23817,23817
2017,2017,23817,23817
2017,2022,23817,23817
2017,2012,238170,238170
2017,2017,238170,238170
2017,2022,238170,238170
2017,2012,23819,23819
2017,2017,23819,23819
2017,2022,23819,23819
2017,2012,238190,238190
2017,2017,238190,238190
2017,2022,238190,238190
2017,2012,2382,2382
2017,2017,2382,2382
2017,2022,2382,2382
